Surplus Number,Qty,Description,Price,Public Date,Type,Category
155213 0019 41555,1,PAINTING,$50.00,null,Painting,Art and Performing Arts Equipment/Supply
155213 0018 41555,4,FRAMED PICTURE,$40.00,null,Print/Picture,Art and Performing Arts Equipment/Supply
156713 0014 41983,1,"CAMERA, CANON, HFR800",$100.00,null,Photography/Camera,Audio Visual
156844 0012 42321,1,"CAMERA, PANASONIC",$50.00,null,Photography/Camera,Audio Visual
157368 0016 42458,1,"PROJECTOR, 3M, MPRO 150",$40.00,9/18/2023,Projector/Screen,Audio Visual
158287 0053 42193,1,"PROJECTOR, EPSON",$100.00,null,Projector/Screen,Audio Visual
158287 0024 42193,1,"PROJECTOR, OPTIMA",$100.00,null,Projector/Screen,Audio Visual
156998 0009 42042,1,"TELEVISION, INSIGNIA, NS-L422-10A",$50.00,null,Television,Audio Visual
157739 0001 42212,1,"TELEVISION, RCA",$50.00,null,Television,Audio Visual
157379 0019 42333,1,"TELEVISION, SAMSUNG, LH52BPQLBC/ZA,",$50.00,9/27/2023,Television,Audio Visual
156597 0010 41945,1,"TELEVISION, SCEPTRE, X32BV, 829A3FP1AA0304",$50.00,null,Television,Audio Visual
158403 0020 42465,1,"TELEVISION, SEIKI, SF40FY27",$50.00,null,Television,Audio Visual
157379 0008 42333,1,"TELEVISION, SHARP, PN-E601, 0C006578",$75.00,9/27/2023,Television,Audio Visual
158403 0008 42465,3,COMPUTER,$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156506 0140 41873,1,"COMPUTER, APPLE, IMAC, D253130GG7F",$100.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156506 0007 41873,1,"COMPUTER, APPLE, IMAC, D25S312LGG7F",$100.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156506 0005 41873,1,"COMPUTER, APPLE, IMAC, D25S3131GG7F",$100.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156506 0128 41873,1,"COMPUTER, APPLE, IMAC, D25SL04EGG7D",$100.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156807 0007 41884,1,"COMPUTER, CUSTOM",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156807 0032 41884,1,"COMPUTER, CUSTOM",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156807 0054 41884,1,"COMPUTER, CUSTOM",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156807 0057 41884,1,"COMPUTER, CUSTOM",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156807 0067 41884,1,"COMPUTER, CUSTOM",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156807 0069 41884,1,"COMPUTER, CUSTOM",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156807 0058 41884,1,"COMPUTER, DELL",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157181 0001 42229,1,"COMPUTER, DELL",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157181 0003 42229,1,"COMPUTER, DELL",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157181 0006 42229,1,"COMPUTER, DELL",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157181 0007 42229,1,"COMPUTER, DELL",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157181 0013 42229,1,"COMPUTER, DELL",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156946 0056 42028,1,"COMPUTER, DELL, BPCBXQ2",$100.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156833 0001 42263,1,"COMPUTER, DELL, D11S",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157368 0005 42458,1,"COMPUTER, DELL, MINI PC",$100.00,9/18/2023,CPU,Computer/IT/Telecommunication Equipment/Supply
156832 0005 42265,1,"COMPUTER, DELL, OPTIPLEX 7050",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
